# I(Q)
#Q (1/A)	I (1/cm)	dI (1/cm)
5.233071E-03	3.740172E-01	2.069323E-02
6.654318E-03	3.272326E-01	9.828125E-03
8.075564E-03	3.206418E-01	7.815842E-03
9.496811E-03	3.074275E-01	6.487089E-03
1.091806E-02	3.075184E-01	5.773597E-03
1.233930E-02	3.041987E-01	5.378051E-03
1.376055E-02	2.985100E-01	4.988218E-03
1.518180E-02	2.978828E-01	4.729316E-03
1.660304E-02	2.983595E-01	4.482681E-03
1.802429E-02	2.975943E-01	4.299361E-03
1.944554E-02	2.836435E-01	4.111600E-03
2.086678E-02	2.899165E-01	3.983761E-03
2.228803E-02	2.824178E-01	3.805474E-03
2.370928E-02	2.841622E-01	3.690479E-03
2.513052E-02	2.865590E-01	3.588098E-03
2.655177E-02	2.906028E-01	3.478837E-03
2.797301E-02	2.841103E-01	3.367699E-03
2.939426E-02	2.809826E-01	3.273160E-03
3.081551E-02	2.826791E-01	3.191549E-03
3.223675E-02	2.824129E-01	3.119809E-03
3.365800E-02	2.787468E-01	3.029249E-03
3.507925E-02	2.768905E-01	2.975488E-03
3.650049E-02	2.786308E-01	2.901142E-03
3.792174E-02	2.735381E-01	2.852798E-03
3.934299E-02	2.721212E-01	2.798230E-03
4.076423E-02	2.699131E-01	2.740373E-03
4.218548E-02	2.685471E-01	2.688549E-03
4.360673E-02	2.663491E-01	2.639749E-03
4.502797E-02	2.621925E-01	2.614474E-03
4.644922E-02	2.643850E-01	2.553320E-03
4.787047E-02	2.625417E-01	2.524965E-03
4.929171E-02	2.556927E-01	2.480942E-03
5.071296E-02	2.561779E-01	2.435852E-03
5.105346E-02	2.545146E-01	1.192662E-03
5.213420E-02	2.481738E-01	2.382595E-03
5.317661E-02	2.495524E-01	1.142245E-03
5.355545E-02	2.488567E-01	2.343710E-03
5.497670E-02	2.488904E-01	2.313800E-03
5.538805E-02	2.465040E-01	1.079864E-03
5.639794E-02	2.444950E-01	2.269577E-03
5.769146E-02	2.429795E-01	1.033054E-03
5.781919E-02	2.434098E-01	2.235626E-03
5.924044E-02	2.401711E-01	2.209508E-03
6.009066E-02	2.381195E-01	9.844967E-04
6.258963E-02	2.358817E-01	9.396314E-04
6.519253E-02	2.285074E-01	8.921339E-04
6.790368E-02	2.242840E-01	8.556945E-04
7.072757E-02	2.192616E-01	8.136383E-04
7.366890E-02	2.155854E-01	7.830219E-04
7.673255E-02	2.111794E-01	7.482983E-04
7.992360E-02	2.077621E-01	7.120438E-04
8.324737E-02	2.016786E-01	6.793038E-04
8.670935E-02	1.971946E-01	6.513006E-04
9.031531E-02	1.938618E-01	6.195628E-04
9.407123E-02	1.913597E-01	5.998106E-04
9.798335E-02	1.875798E-01	5.694616E-04
1.020582E-01	1.840015E-01	5.445345E-04
1.063024E-01	1.814343E-01	5.210031E-04
1.107232E-01	1.770867E-01	5.002044E-04
1.153278E-01	1.748399E-01	4.768468E-04
1.201239E-01	1.711768E-01	4.571457E-04
1.251195E-01	1.681749E-01	4.386637E-04
1.303228E-01	1.659847E-01	4.205042E-04
1.357425E-01	1.633076E-01	4.021882E-04
1.413876E-01	1.604547E-01	3.862981E-04
1.472674E-01	1.573792E-01	3.710976E-04
1.533918E-01	1.550555E-01	3.553043E-04
1.597709E-01	1.526777E-01	3.419162E-04
1.664152E-01	1.507789E-01	3.287098E-04
1.733359E-01	1.480034E-01	3.156304E-04
1.805444E-01	1.466289E-01	3.042491E-04
1.880526E-01	1.452028E-01	2.919719E-04
1.958731E-01	1.428743E-01	2.814471E-04
2.040188E-01	1.410955E-01	2.491994E-04
2.125033E-01	1.396198E-01	2.404214E-04
2.213406E-01	1.376300E-01	2.323753E-04
2.305455E-01	1.363328E-01	2.244581E-04
2.401331E-01	1.352490E-01	2.180565E-04
2.501195E-01	1.333572E-01	2.127345E-04
2.605211E-01	1.323309E-01	2.083997E-04
2.713553E-01	1.310641E-01	2.050827E-04
2.826401E-01	1.301441E-01	2.028747E-04
2.943942E-01	1.293605E-01	2.020353E-04
3.066371E-01	1.280967E-01	2.014799E-04
3.193891E-01	1.278536E-01	2.180502E-04
3.326715E-01	1.271215E-01	2.202456E-04
3.465062E-01	1.260420E-01	2.234679E-04
3.609163E-01	1.253809E-01	2.280069E-04
3.759256E-01	1.246543E-01	2.335219E-04
3.915591E-01	1.240377E-01	2.403173E-04
4.078428E-01	1.238246E-01	2.487896E-04
4.248036E-01	1.231880E-01	2.593536E-04
4.424698E-01	1.227453E-01	2.721039E-04
4.608707E-01	1.224819E-01	2.888736E-04
4.800368E-01	1.221223E-01	3.099541E-04
