# I(Q)
#Q (1/A)	I (1/cm)	dI (1/cm)
5.233072E-03	1.255453E+02	1.320187E+00
6.654317E-03	1.084458E+02	6.900798E-01
8.075562E-03	1.039607E+02	5.847006E-01
9.496808E-03	1.044216E+02	5.095204E-01
1.091805E-02	1.058436E+02	4.709073E-01
1.233930E-02	1.083194E+02	4.476153E-01
1.376054E-02	1.107286E+02	4.272559E-01
1.518179E-02	1.134789E+02	4.124561E-01
1.660303E-02	1.140760E+02	3.954042E-01
1.802428E-02	1.172742E+02	3.862787E-01
1.944552E-02	1.167303E+02	3.700419E-01
2.086677E-02	1.177405E+02	3.594754E-01
2.228801E-02	1.165667E+02	3.463820E-01
2.370926E-02	1.148557E+02	3.323525E-01
2.513050E-02	1.131725E+02	3.216602E-01
2.655175E-02	1.107826E+02	3.084985E-01
2.797300E-02	1.085279E+02	2.975324E-01
2.939424E-02	1.050556E+02	2.853445E-01
3.081549E-02	1.006406E+02	2.727114E-01
3.223673E-02	9.674156E+01	2.615368E-01
3.365798E-02	9.307167E+01	2.506420E-01
3.507922E-02	8.891911E+01	2.409142E-01
3.650047E-02	8.466720E+01	2.302257E-01
3.792171E-02	7.984589E+01	2.197826E-01
3.934296E-02	7.580422E+01	2.111903E-01
4.076420E-02	7.247129E+01	2.029043E-01
4.218545E-02	6.784110E+01	1.933987E-01
4.360669E-02	6.416668E+01	1.853193E-01
4.502794E-02	6.063113E+01	1.784606E-01
4.644918E-02	5.682499E+01	1.693469E-01
4.787043E-02	5.353528E+01	1.628392E-01
4.929167E-02	5.037401E+01	1.557087E-01
5.071292E-02	4.733335E+01	1.487214E-01
5.105346E-02	4.562591E+01	4.052112E-02
5.213416E-02	4.437981E+01	1.422024E-01
5.317661E-02	4.195625E+01	3.741550E-02
5.355541E-02	4.156533E+01	1.359756E-01
5.497665E-02	3.939664E+01	1.309397E-01
5.538805E-02	3.842957E+01	3.395649E-02
5.639790E-02	3.654641E+01	1.246252E-01
5.769146E-02	3.512863E+01	3.117694E-02
5.781914E-02	3.418719E+01	1.191185E-01
5.924039E-02	3.203240E+01	1.145521E-01
6.009066E-02	3.192575E+01	2.856415E-02
6.258963E-02	2.884217E+01	2.600354E-02
6.519253E-02	2.593994E+01	2.360893E-02
6.790368E-02	2.321230E+01	2.155702E-02
7.072757E-02	2.066154E+01	1.946447E-02
7.366890E-02	1.832074E+01	1.776043E-02
7.673255E-02	1.618870E+01	1.607794E-02
7.992360E-02	1.417942E+01	1.442533E-02
8.324737E-02	1.237990E+01	1.298160E-02
8.670935E-02	1.076168E+01	1.169697E-02
9.031531E-02	9.281108E+00	1.043107E-02
9.407123E-02	7.993610E+00	9.462654E-03
9.798335E-02	6.845492E+00	8.395664E-03
1.020582E-01	5.849298E+00	7.515861E-03
1.063024E-01	4.982023E+00	6.720341E-03
1.107232E-01	4.222838E+00	6.029611E-03
1.153278E-01	3.563086E+00	5.364794E-03
1.201239E-01	3.006846E+00	4.814218E-03
1.251195E-01	2.545603E+00	4.337556E-03
1.303228E-01	2.141963E+00	3.899860E-03
1.357425E-01	1.819626E+00	3.525743E-03
1.413876E-01	1.533376E+00	3.197427E-03
1.472674E-01	1.297271E+00	2.914745E-03
1.533918E-01	1.106809E+00	2.661973E-03
1.597709E-01	9.468758E-01	2.453873E-03
1.664152E-01	8.075999E-01	2.262789E-03
1.733359E-01	6.998004E-01	2.101723E-03
1.805444E-01	6.050223E-01	1.960874E-03
1.880526E-01	5.219463E-01	1.825656E-03
1.958731E-01	4.553655E-01	1.717422E-03
2.040188E-01	3.990527E-01	1.485345E-03
2.125033E-01	3.496775E-01	1.405583E-03
2.213406E-01	3.085979E-01	1.337327E-03
2.305455E-01	2.740968E-01	1.273674E-03
2.401331E-01	2.454847E-01	1.223355E-03
2.501195E-01	2.149472E-01	1.180407E-03
2.605211E-01	1.943025E-01	1.147273E-03
2.713553E-01	1.716232E-01	1.120367E-03
2.826401E-01	1.543971E-01	1.101819E-03
2.943942E-01	1.404617E-01	1.092239E-03
3.066371E-01	1.287704E-01	1.086351E-03
3.193891E-01	1.153460E-01	1.168750E-03
3.326715E-01	1.067694E-01	1.179002E-03
3.465062E-01	9.686289E-02	1.194865E-03
3.609163E-01	8.976362E-02	1.219105E-03
3.759256E-01	8.277885E-02	1.248819E-03
3.915591E-01	7.936011E-02	1.287088E-03
4.078428E-01	7.327598E-02	1.331892E-03
4.248036E-01	6.936724E-02	1.389973E-03
4.424698E-01	6.456481E-02	1.457796E-03
4.608707E-01	6.265350E-02	1.548725E-03
4.800368E-01	5.664520E-02	1.659619E-03
